Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Processed Review,Hybrid Category,KMeans Cluster,Keyword_Category,Semantic_Category
10,1077,53,Dress looks like it's made of cheap material,Dress runs small esp where the zipper area runs. i ordered the sp which typically fits me and it was very tight! the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric. pretty disappointed as it was going to be my christmas dress this year! needless to say it will be going back.,3,0,14,General,Dresses,Dresses,"['dress', 'run', 'small', 'esp', 'zipper', 'area', 'run', 'order', 'sp', 'typic', 'fit', 'tight', 'materi', 'top', 'look', 'feel', 'cheap', 'even', 'pull', 'caus', 'rip', 'fabric', 'pretti', 'disappoint', 'go', 'christma', 'dress', 'year', 'needless', 'say', 'go', 'back']",Fit and Sizing,Cluster 1,Fit and Sizing,Fit and Sizing
11,1095,39,,This dress is perfection! so pretty and flattering.,5,1,2,General Petite,Dresses,Dresses,"['dress', 'perfect', 'pretti', 'flatter']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
12,1095,53,Perfect!!!,"More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past, they are right on in their estimation of the product. in the case of this dress-if it had not been for the reveiws-i doubt i would have even tried this. the dress is beautifully made, lined and reminiscent of the old retailer quality. it is lined in the solid periwinkle-colored fabric that matches the outer fabric print. tts and very form-fitting. falls just above the knee and does not rid",5,1,2,General Petite,Dresses,Dresses,"['find', 'reliant', 'review', 'written', 'savvi', 'shopper', 'past', 'right', 'estim', 'product', 'case', 'dressif', 'reveiwsi', 'doubt', 'would', 'even', 'tri', 'dress', 'beauti', 'made', 'line', 'reminisc', 'old', 'retail', 'qualiti', 'line', 'solid', 'periwinklecolor', 'fabric', 'match', 'outer', 'fabric', 'print', 'tt', 'formfit', 'fall', 'knee', 'rid']",Style and Aesthetics,Cluster 1,Fabric and Material Quality,Style and Aesthetics
13,767,44,Runs big,"Bought the black xs to go under the larkspur midi dress because they didn't bother lining the skirt portion (grrrrrrrrrrr).
my stats are 34a-28/29-36 and the xs fit very smoothly around the chest and was flowy around my lower half, so i would say it's running big.
the straps are very pretty and it could easily be nightwear too.
i'm 5'6"" and it came to just below my knees.",5,1,0,Initmates,Intimate,Intimates,"['bought', 'black', 'xs', 'go', 'larkspur', 'midi', 'dress', 'didnt', 'bother', 'line', 'skirt', 'portion', 'grrrrrrrrrrr', 'stat', 'xs', 'fit', 'smoothli', 'around', 'chest', 'flowi', 'around', 'lower', 'half', 'would', 'say', 'run', 'big', 'strap', 'pretti', 'could', 'easili', 'nightwear', 'im', 'came', 'knee']",Fit and Sizing,Cluster 3,Fit and Sizing,Fit and Sizing
14,1077,50,Pretty party dress with some issues,This is a nice choice for holiday gatherings. i like that the length grazes the knee so it is conservative enough for office related gatherings. the size small fit me well - i am usually a size 2/4 with a small bust. in my opinion it runs small and those with larger busts will definitely have to size up (but then perhaps the waist will be too big). the problem with this dress is the quality. the fabrics are terrible. the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,1,1,General,Dresses,Dresses,"['nice', 'choic', 'holiday', 'gather', 'like', 'length', 'graze', 'knee', 'conserv', 'enough', 'offic', 'relat', 'gather', 'size', 'small', 'fit', 'well', 'usual', 'size', 'small', 'bust', 'opinion', 'run', 'small', 'larger', 'bust', 'definit', 'size', 'perhap', 'waist', 'big', 'problem', 'dress', 'qualiti', 'fabric', 'terribl', 'delic', 'net', 'type', 'fabric', 'top', 'layer', 'skirt', 'got', 'stuck', 'zip']",Fit and Sizing,Cluster 1,Fit and Sizing,Fit and Sizing
15,1065,47,"Nice, but not for my body","I took these out of the package and wanted them to fit so badly, but i could tell before i put them on that they wouldn't. these are for an hour-glass figure. i am more straight up and down. the waist was way too small for my body shape and even if i sized up, i could tell they would still be tight in the waist and too roomy in the hips - for me. that said, they are really nice. sturdy, linen-like fabric, pretty color, well made. i hope they make someone very happy!",4,1,3,General,Bottoms,Pants,"['took', 'packag', 'want', 'fit', 'badli', 'could', 'tell', 'put', 'wouldnt', 'hourglass', 'figur', 'straight', 'waist', 'way', 'small', 'bodi', 'shape', 'even', 'size', 'could', 'tell', 'would', 'still', 'tight', 'waist', 'roomi', 'hip', 'said', 'realli', 'nice', 'sturdi', 'linenlik', 'fabric', 'pretti', 'color', 'well', 'made', 'hope', 'make', 'someon', 'happi']",Fit and Sizing,Cluster 5,Fit and Sizing,Fit and Sizing
16,1065,34,"You need to be at least average height, or taller","Material and color is nice.  the leg opening is very large.  i am 5'1 (100#) and the length hits me right above my ankle.  with a leg opening the size of my waist and hem line above my ankle, and front pleats to make me fluffy, i think you can imagine that it is not a flattering look.  if you are at least average height or taller, this may look good on you.",3,1,2,General,Bottoms,Pants,"['materi', 'color', 'nice', 'leg', 'open', 'larg', 'length', 'hit', 'right', 'ankl', 'leg', 'open', 'size', 'waist', 'hem', 'line', 'ankl', 'front', 'pleat', 'make', 'fluffi', 'think', 'imagin', 'flatter', 'look', 'least', 'averag', 'height', 'taller', 'may', 'look', 'good']",Style and Aesthetics,Cluster 5,Style and Aesthetics,Style and Aesthetics
17,853,41,Looks great with white pants,Took a chance on this blouse and so glad i did. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked perfectly. crisp and clean is how i would describe it. launders well. fits great. drape is perfect. wear tucked in or out - can't go wrong.,5,1,0,General,Tops,Blouses,"['took', 'chanc', 'blous', 'glad', 'wasnt', 'crazi', 'blous', 'photograph', 'model', 'pair', 'whit', 'white', 'pant', 'work', 'perfectli', 'crisp', 'clean', 'would', 'describ', 'launder', 'well', 'fit', 'great', 'drape', 'perfect', 'wear', 'tuck', 'cant', 'go', 'wrong']",Style and Aesthetics,Cluster 2,Fit and Sizing,Style and Aesthetics
18,1120,32,Super cute and cozy,"A flattering, super cozy coat.  will work well for cold, dry days and will look good with jeans or a dressier outfit.  i am 5' 5'', about 135 and the small fits great.",5,1,0,General,Jackets,Outerwear,"['flatter', 'super', 'cozi', 'coat', 'work', 'well', 'cold', 'dri', 'day', 'look', 'good', 'jean', 'dressier', 'outfit', 'small', 'fit', 'great']",Fit and Sizing,Cluster 4,Style and Aesthetics,Comfort and Wearability
19,1077,47,Stylish and comfortable,"I love the look and feel of this tulle dress. i was looking for something different, but not over the top for new year's eve. i'm small chested and the top of this dress is form fitting for a flattering look. once i steamed the tulle, it was perfect! i ordered an xsp. length was perfect too.",5,1,0,General,Dresses,Dresses,"['love', 'look', 'feel', 'tull', 'dress', 'look', 'someth', 'differ', 'top', 'new', 'year', 'eve', 'im', 'small', 'chest', 'top', 'dress', 'form', 'fit', 'flatter', 'look', 'steam', 'tull', 'perfect', 'order', 'xsp', 'length', 'perfect']",Style and Aesthetics,Cluster 3,Style and Aesthetics,Style and Aesthetics
20,847,33,"Cute, crisp shirt","If this product was in petite, i would get the petite. the regular is a little long on me but a tailor can do a simple fix on that. 

fits nicely! i'm 5'4, 130lb and pregnant so i bough t medium to grow into. 

the tie can be front or back so provides for some nice flexibility on form fitting.",4,1,2,General,Tops,Blouses,"['product', 'petit', 'would', 'get', 'petit', 'regular', 'littl', 'long', 'tailor', 'simpl', 'fix', 'fit', 'nice', 'im', 'lb', 'pregnant', 'bough', 'medium', 'grow', 'tie', 'front', 'back', 'provid', 'nice', 'flexibl', 'form', 'fit']",Fit and Sizing,Cluster 4,Fit and Sizing,Fit and Sizing
21,1080,55,I'm torn!,"I'm upset because for the price of the dress, i thought it was embroidered! no, that is a print on the fabric. i think i cried a little when i opened the box. it is still ver pretty. i would say it is true to size, it is a tad bit big on me, but i am very tiny, but i can still get away with it. the color is vibrant. the style is unique. skirt portion is pretty poofy. i keep going back and forth on it mainly because of the price, although the quality is definitely there. except i wish it were emb",4,1,14,General,Dresses,Dresses,"['im', 'upset', 'price', 'dress', 'thought', 'embroid', 'print', 'fabric', 'think', 'cri', 'littl', 'open', 'box', 'still', 'ver', 'pretti', 'would', 'say', 'true', 'size', 'tad', 'bit', 'big', 'tini', 'still', 'get', 'away', 'color', 'vibrant', 'style', 'uniqu', 'skirt', 'portion', 'pretti', 'poofi', 'keep', 'go', 'back', 'forth', 'mainli', 'price', 'although', 'qualiti', 'definit', 'except', 'wish', 'emb']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
22,1077,31,Not what it looks like,"First of all, this is not pullover styling. there is a side zipper. i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me.

second of all, the tulle feels and looks cheap and the slip has an awkward tight shape underneath.

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!",2,0,7,General,Dresses,Dresses,"['first', 'pullov', 'style', 'side', 'zipper', 'wouldnt', 'purchas', 'knew', 'side', 'zipper', 'larg', 'bust', 'side', 'zipper', 'next', 'imposs', 'second', 'tull', 'feel', 'look', 'cheap', 'slip', 'awkward', 'tight', 'shape', 'underneath', 'look', 'like', 'describ', 'sadli', 'return', 'im', 'sure', 'find', 'someth', 'exchang']",Style and Aesthetics,Cluster 3,Style and Aesthetics,Style and Aesthetics
23,1077,34,"Like it, but don't love it.","Cute little dress fits tts. it is a little high waisted. good length for my 5'9 height. i like the dress, i'm just not in love with it. i dont think it looks or feels cheap. it appears just as pictured.",3,1,0,General,Dresses,Dresses,"['cute', 'littl', 'dress', 'fit', 'tt', 'littl', 'high', 'waist', 'good', 'length', 'height', 'like', 'dress', 'im', 'love', 'dont', 'think', 'look', 'feel', 'cheap', 'appear', 'pictur']",Fit and Sizing,Cluster 1,Fit and Sizing,Fit and Sizing
24,847,55,Versatile,"I love this shirt because when i first saw it, i wasn't sure if it was a shirt or dress. since it is see-through if you wear it like a dress you will need a slip or wear it with leggings. i bought a slip, wore the tie in the back, and rocked it with white wedges. you could also wear it as a vest. be careful with the buttons. i haven't had any fall off yet, but i feel like they will. overall it's great for any occasion and it's fun to wear!",5,1,0,General,Tops,Blouses,"['love', 'shirt', 'first', 'saw', 'wasnt', 'sure', 'shirt', 'dress', 'sinc', 'seethrough', 'wear', 'like', 'dress', 'need', 'slip', 'wear', 'leg', 'bought', 'slip', 'wore', 'tie', 'back', 'rock', 'white', 'wedg', 'could', 'also', 'wear', 'vest', 'care', 'button', 'havent', 'fall', 'yet', 'feel', 'like', 'overal', 'great', 'occas', 'fun', 'wear']",Fit and Sizing,Cluster 2,Style and Aesthetics,Fit and Sizing
25,697,31,Falls flat,"Loved the material, but i didnt really look at how long the dress was before i purchased both a large and a medium. im 5'5"" and there was atleast 5"" of material at my feet. the gaps in the front are much wider than they look. felt like the dress just fell flat. both were returned. im usually a large and the med fit better. 36d 30 in jeans",3,0,0,Initmates,Intimate,Lounge,"['love', 'materi', 'didnt', 'realli', 'look', 'long', 'dress', 'purchas', 'larg', 'medium', 'im', 'atleast', 'materi', 'feet', 'gap', 'front', 'much', 'wider', 'look', 'felt', 'like', 'dress', 'fell', 'flat', 'return', 'im', 'usual', 'larg', 'med', 'fit', 'better', 'jean']",Fit and Sizing,Cluster 1,Style and Aesthetics,Fit and Sizing
26,949,33,Huge disappointment,I have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive. this coat is not true to size and made me look short and squat. the sleeves are very wide (although long). as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath. the buttons need to be moved at least three inches in for a nicer fit. i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh,2,0,0,General,Tops,Sweaters,"['wait', 'sweater', 'coat', 'ship', 'week', 'excit', 'arriv', 'coat', 'true', 'size', 'made', 'look', 'short', 'squat', 'sleev', 'wide', 'although', 'long', 'light', 'weight', 'fall', 'coat', 'sleev', 'dont', 'need', 'wide', 'wouldnt', 'layerng', 'much', 'underneath', 'button', 'need', 'move', 'least', 'three', 'inch', 'nicer', 'fit', 'thought', 'redo', 'button', 'sleev', 'look', 'even', 'proport', 'tigh']",Fit and Sizing,Cluster 2,Fit and Sizing,Fit and Sizing
27,1003,31,"Loved, but returned","The colors weren't what i expected either. the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.",4,1,0,General,Bottoms,Skirts,"['color', 'werent', 'expect', 'either', 'dark', 'blue', 'much', 'vibrant', 'couldnt', 'find', 'anyth', 'realli', 'go', 'fabric', 'thick', 'good', 'qualiti', 'nice', 'weight', 'movement', 'skirt', 'wasnt', 'end']",Style and Aesthetics,Cluster 5,Fabric and Material Quality,Style and Aesthetics
28,684,53,Great shirt!!!,I have several of goodhyouman shirts and i get so many compliments on them. especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....,5,1,2,Initmates,Intimate,Lounge,"['sever', 'goodhyouman', 'shirt', 'get', 'mani', 'compliment', 'especi', 'one', 'say', 'forehead', 'kiss', 'underr', 'dont', 'hesit', 'buy', 'shirt', 'wont', 'sorri']",Style and Aesthetics,Cluster 2,Style and Aesthetics,Style and Aesthetics
29,4,28,Great layering piece,"This sweater is so comfy and classic - it balances a quirky hand-knit look with a beautiful color and practical fit. it is a bit cropped and boxy as part of the style, and as others mentioned, there are gaps in the knit that make it see-through. in my opinion this makes it perfect for layering! i like having a longer camisole showing underneath, or wearing it over a little dress. it's warm but still thin enough to fit under a jacket or coat.",5,1,0,General,Tops,Sweaters,"['sweater', 'comfi', 'classic', 'balanc', 'quirki', 'handknit', 'look', 'beauti', 'color', 'practic', 'fit', 'bit', 'crop', 'boxi', 'part', 'style', 'other', 'mention', 'gap', 'knit', 'make', 'seethrough', 'opinion', 'make', 'perfect', 'layer', 'like', 'longer', 'camisol', 'show', 'underneath', 'wear', 'littl', 'dress', 'warm', 'still', 'thin', 'enough', 'fit', 'jacket', 'coat']",Style and Aesthetics,Cluster 2,Style and Aesthetics,Fabric and Material Quality
30,1060,33,,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5,1,0,General Petite,Bottoms,Pants,"['beauti', 'made', 'pant', 'trend', 'flare', 'crop', 'much', 'cuter', 'person', 'love']",Style and Aesthetics,Cluster 5,Style and Aesthetics,Style and Aesthetics
31,1060,46,Cuter in oerson!,"I never would have given these pants a second look online, in person they are much cuter! the stripes are brighter and the fit more flattering. the crop has a cute flare which is right on trend. this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly. i paired it with a collarless loose navy blazer",5,1,7,General Petite,Bottoms,Pants,"['never', 'would', 'given', 'pant', 'second', 'look', 'onlin', 'person', 'much', 'cuter', 'stripe', 'brighter', 'fit', 'flatter', 'crop', 'cute', 'flare', 'right', 'trend', 'brand', 'alway', 'run', 'small', 'lb', 'carri', 'chubbi', 'belli', 'pair', 'collarless', 'loos', 'navi', 'blazer']",Style and Aesthetics,Cluster 5,Style and Aesthetics,Style and Aesthetics
32,1060,21,Love these pants,These pants are even better in person. the only downside is that they need to be dry cleaned.,5,1,0,General Petite,Bottoms,Pants,"['pant', 'even', 'better', 'person', 'downsid', 'need', 'dri', 'clean']",Occasion and Use Case,Cluster 5,Occasion and Use Case,Comfort and Wearability
33,949,36,Mehh,"I ordered this 3 months ago, and it finally came off back order. a huge disappointment. the fit wasn&#39;t so much the issue for me. the quality of the wool is subpar. someone else mentioned a &quot;felted wool&quot;...i guess, is that what you call it?  it does literally feel like felt! super thin, itchy, doesn&#39;t drape very well, and feels cheap (made in china). i got it on sale, but still not worth what i paid. definitely going back.",2,0,0,General,Tops,Sweaters,"['order', 'month', 'ago', 'final', 'came', 'back', 'order', 'huge', 'disappoint', 'fit', 'wasnt', 'much', 'issu', 'qualiti', 'wool', 'subpar', 'someon', 'els', 'mention', 'quotfelt', 'woolquoti', 'guess', 'call', 'liter', 'feel', 'like', 'felt', 'super', 'thin', 'itchi', 'doesnt', 'drape', 'well', 'feel', 'cheap', 'made', 'china', 'got', 'sale', 'still', 'worth', 'paid', 'definit', 'go', 'back']",Fabric and Material Quality,Cluster 2,Fabric and Material Quality,Fabric and Material Quality
34,697,39,Love this dress!,"This is such a neat dress. the color is great and the fabric is super soft. i am tall so the long length was an added bonus. it definitely needs something underneath since the front gaps. i am going to pair it with a funky tank top, necklaces and boots. super cute!!",5,1,0,Initmates,Intimate,Lounge,"['neat', 'dress', 'color', 'great', 'fabric', 'super', 'soft', 'tall', 'long', 'length', 'ad', 'bonu', 'definit', 'need', 'someth', 'underneath', 'sinc', 'front', 'gap', 'go', 'pair', 'funki', 'tank', 'top', 'necklac', 'boot', 'super', 'cute']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
35,1060,65,Lovely!,"Wouldn't have given them a second look but tried them on in store of a whim. love, love!!",4,1,3,General Petite,Bottoms,Pants,"['wouldnt', 'given', 'second', 'look', 'tri', 'store', 'whim', 'love', 'love']",Style and Aesthetics,Cluster 5,Style and Aesthetics,Style and Aesthetics
36,1002,29,,"This is a comfortable skirt that can span seasons easily. while not the most exciting design, it is a good work skirt that can be paired with many tops.",4,1,5,General,Bottoms,Skirts,"['comfort', 'skirt', 'span', 'season', 'easili', 'excit', 'design', 'good', 'work', 'skirt', 'pair', 'mani', 'top']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
37,949,38,Beautifully cut lightweight coat,"Just ordered this in a small for me (5'6"", 135, size 4) and medium for my mom (5'3"", 130, size 8) and it is gorgeous - beautifully draped, all the weight/warmth i'll need for houston fall and winter, looks polished snapped or unsnapped. age-appropriate for both my mom (60's) and myself (30's). will look amazing with skinny jeans or leggings. we ordered the gray which is true to the photos.",5,1,1,General,Tops,Sweaters,"['order', 'small', 'size', 'medium', 'mom', 'size', 'gorgeou', 'beauti', 'drape', 'weightwarmth', 'ill', 'need', 'houston', 'fall', 'winter', 'look', 'polish', 'snap', 'unsnap', 'ageappropri', 'mom', 'look', 'amaz', 'skinni', 'jean', 'leg', 'order', 'gray', 'true', 'photo']",Fit and Sizing,Cluster 4,Style and Aesthetics,Fit and Sizing
38,684,36,,Super cute and comfy pull over. sizing is accurate. material has a little bit of stretch.,5,1,2,Initmates,Intimate,Lounge,"['super', 'cute', 'comfi', 'pull', 'size', 'accur', 'materi', 'littl', 'bit', 'stretch']",Fit and Sizing,Cluster 4,Style and Aesthetics,Comfort and Wearability
39,862,59,,Great casual top with flare. looks cute with grey pilcro stet jeans. flattering with peplum in back. nice cut for shoulders and neckline.,5,1,0,General,Tops,Knits,"['great', 'casual', 'top', 'flare', 'look', 'cute', 'grey', 'pilcro', 'stet', 'jean', 'flatter', 'peplum', 'back', 'nice', 'cut', 'shoulder', 'necklin']",Style and Aesthetics,Cluster 6,Style and Aesthetics,Style and Aesthetics
40,862,47,,"Pretty and unique. great with jeans or i have worn it to work with slacks and heels. the colors, print, and embroidery are lovely. reasonably priced!",4,1,1,General,Tops,Knits,"['pretti', 'uniqu', 'great', 'jean', 'worn', 'work', 'slack', 'heel', 'color', 'print', 'embroideri', 'love', 'reason', 'price']",Style and Aesthetics,Cluster 2,Style and Aesthetics,Style and Aesthetics
41,862,40,,"This is a beautiful top. it's unique and not so ordinary. i bought my usual medium and i found that it fits tight across my chest. although i had a baby this year and i am nursing, so that could be why. if i bought again i would size up.",5,1,0,General,Tops,Knits,"['beauti', 'top', 'uniqu', 'ordinari', 'bought', 'usual', 'medium', 'found', 'fit', 'tight', 'across', 'chest', 'although', 'babi', 'year', 'nurs', 'could', 'bought', 'would', 'size']",Fit and Sizing,Cluster 6,Fit and Sizing,Style and Aesthetics
42,910,23,Soft & lovely,"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels. i love this look for fall and it can roll right into spring. great buy!!",5,1,0,General,Tops,Fine gauge,"['poncho', 'cute', 'love', 'plaid', 'check', 'design', 'color', 'look', 'like', 'sorbet', 'cream', 'pair', 'well', 'turtleneck', 'jean', 'pencil', 'skirt', 'heel', 'love', 'look', 'fall', 'roll', 'right', 'spring', 'great', 'buy']",Style and Aesthetics,Cluster 1,Style and Aesthetics,Style and Aesthetics
43,89,67,Some things you should know...,"First, this is thermal ,so naturally i didn't expect super sheer, but it is. really sheer light fabric. i like it, but be prepared for considering who you might run into if you walk around the house in it. second, it is large. i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds. i wouldn't want to go larger. along with being sheer, the fabric is easily stretched, which i don't mind in this case. finally, the color. it looks white on my monitor and shows a colorful blue dot",4,1,1,Initmates,Intimate,Sleep,"['first', 'thermal', 'natur', 'didnt', 'expect', 'super', 'sheer', 'realli', 'sheer', 'light', 'fabric', 'like', 'prepar', 'consid', 'might', 'run', 'walk', 'around', 'hous', 'second', 'larg', 'order', 'size', 'nice', 'overs', 'fit', 'pound', 'wouldnt', 'want', 'go', 'larger', 'along', 'sheer', 'fabric', 'easili', 'stretch', 'dont', 'mind', 'case', 'final', 'color', 'look', 'white', 'monitor', 'show', 'color', 'blue', 'dot']",Style and Aesthetics,Cluster 2,Style and Aesthetics,Fabric and Material Quality
